영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
크라임 101,2026-04-08,2026-04-08,신작,실사 외화,종영,20138,53148,208,3513,171,75.2,210,6,2026-03-30,2026-05-10,"범죄,드라마,스릴러",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
주차금지,2025-05-21,2025-05-21,신작,실사 한국,종영,19970,19453,125,2520,126,44.1,138,7,2025-05-12,2025-06-29,스릴러,한국,"㈜영화사 주단,(주)엠디에스스피어"
극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,2023-02-02,2023-02-02,신작,애니메이션,종영,19711,34348,114,3397,114,35.7,195,8,2023-01-30,2023-03-26,"애니메이션,판타지,액션",일본,(주)애니플러스
워페어,2026-08-19,2026-08-19,신작,실사 외화,상영중(잠정),19612,45012,199,3815,188,102.9,160,5,2026-08-03,2026-09-06,"액션,드라마,전쟁",미국,주식회사 올랄라스토리
킬 빌: 더 홀 블러디 어페어,2026-04-01,2026-04-01,신작,실사 외화,종영,19273,15711,88,2923,86,25.8,156,10,2026-03-16,2026-05-24,액션,미국,(주)누리픽쳐스
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,2024-02-01,2024-02-01,신작,애니메이션,종영,19156,17849,84,3976,84,33.2,156,7,2024-01-29,2024-03-17,애니메이션,일본,(주)애니플러스
우리에게는 아직 내일이 있다,2026-03-04,2026-03-04,신작,실사 외화,종영,19136,11100,82,1448,73,21.0,119,12,2026-02-23,2026-05-17,드라마,이탈리아,(주)콘텐츠판다
더 로즈: 완벽한 이혼,2025-09-17,2025-09-17,신작,실사 외화,종영,18670,54406,167,3185,152,77.0,208,6,2025-09-08,2025-10-19,"코미디,드라마",미국,월트디즈니컴퍼니코리아 유한책임회사
뮤지컬 장수탕 선녀님,2026-03-26,2026-03-26,신작,공연·실황,종영,18207,14201,89,737,89,30.5,128,10,2026-03-16,2026-05-24,"뮤지컬,공연",한국,"메가박스중앙(주),(주)영화사 그램"
마당을 나온 암탉,2025-01-22,2011-07-28,재개봉/구작,애니메이션,종영,18008,23255,131,954,117,41.1,132,10,2025-01-06,2025-03-16,애니메이션,한국,"메가박스중앙(주),롯데쇼핑㈜롯데엔터테인먼트"
우견니,2024-02-14,2024-02-14,신작,실사 외화,종영,17981,59634,143,4638,119,35.7,235,9,2024-01-29,2024-03-31,멜로/로맨스,중국,"오드,홀리가든"
"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",2026-04-16,2026-04-16,신작,애니메이션,종영,17847,19187,100,2920,100,22.8,151,8,2026-04-13,2026-06-07,애니메이션,일본,(주)애니플러스
영원,2026-02-04,2026-02-04,신작,실사 외화,종영,17528,26870,120,1087,116,32.3,158,10,2026-01-26,2026-04-05,"멜로/로맨스,코미디,판타지",미국,워터홀컴퍼니(주)
코코,2024-05-30,2018-01-11,재개봉/구작,애니메이션,종영,16917,36952,104,3998,104,88.0,250,3,2024-05-27,2024-06-16,애니메이션,미국,월트디즈니컴퍼니코리아 유한책임회사
첫여름,2025-08-06,,재개봉/구작,실사 한국,종영,16906,13702,85,1595,85,32.3,132,10,2025-07-28,2025-10-05,드라마,한국,한국영화아카데미
가타카,2025-11-20,1998-05-02,재개봉/구작,실사 외화,종영,16560,15383,71,1388,72,26.7,148,7,2025-11-17,2026-01-04,"SF,드라마,미스터리,스릴러",미국,
극장판 츠루네: 시작의 한 발,2024-02-21,2024-02-21,신작,애니메이션,종영,16531,33564,119,3654,118,34.3,149,8,2024-02-12,2024-04-07,애니메이션,일본,(주)라이크콘텐츠
중경삼림,2024-02-14,1995-09-02,재개봉/구작,실사 외화,종영,16102,6776,53,1390,53,11.3,111,14,2024-02-12,2024-05-19,드라마,홍콩,(주)디스테이션
해피 투게더,2023-03-30,1998-08-22,재개봉/구작,실사 외화,종영,15835,36350,140,7147,129,42.1,186,5,2023-03-27,2023-04-30,"드라마,멜로/로맨스",홍콩,(주)디스테이션
히어,2025-02-19,2025-02-19,신작,실사 외화,종영,15435,50640,144,3227,112,44.2,212,6,2025-02-10,2025-03-23,드라마,미국,"메가박스중앙(주),(주)이놀미디어"
영웅: 라이브 인 시네마,2024-08-21,2024-08-21,신작,공연·실황,종영,15141,6291,21,803,98,24.5,154,18,2024-08-12,2024-12-15,"공연,뮤지컬",한국,"(주)위즈온센,메가박스중앙(주)"
철도원,2026-01-07,2000-02-04,재개봉/구작,실사 외화,종영,14997,24542,127,1289,123,53.5,147,5,2026-01-05,2026-02-08,"가족,드라마",일본,와이드 릴리즈(주)
엑소시스트: 더 바티칸,2023-05-10,2023-05-10,신작,실사 외화,종영,14639,43011,129,2373,127,54.2,224,5,2023-05-01,2023-06-04,공포(호러),미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
슈퍼소닉,2025-08-29,2016-11-24,재개봉/구작,실사 외화,종영,14607,25786,124,3774,93,39.8,158,6,2025-08-18,2025-09-28,다큐멘터리,영국,"(주)레드아이스 엔터테인먼트,주식회사 씨네룩스"
커미션,2025-07-16,2025-07-16,신작,실사 한국,종영,14415,22780,127,2688,126,49.1,142,5,2025-07-07,2025-08-10,"미스터리,스릴러",한국,"(주)팬엔터테인먼트,(주)미디어캐슬"
씰벤져스 : 용감한 바다특공대,2023-09-27,2023-09-27,신작,애니메이션,종영,14209,10144,79,608,109,35.0,145,8,2023-09-18,2023-11-12,"애니메이션,액션,코미디,어드벤처",미국,(주)무비다이브
