영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
절해고도,2023-09-27,4099,35283100,1,1,2025-12
노다지,,4085,8282500,1,6,2026-04
고백하지마,2025-12-17,4067,38492000,1,2,2026-03
준스톤 이어원,2025-03-06,4067,41504200,1,5,2025-04
우리의 하루,2023-10-19,4036,37942790,1,1,2024-03
느티나무 아래,2023-11-15,4022,34403450,1,1,2024-11
그라운드의 이방인,2015-03-19,4017,26222000,1,1,2024-09
물꽃의 전설,2023-08-30,4016,34089883,1,1,2025-09
구봉서의 벼락부자,,4009,8706000,1,6,2025-12
통잠,2025-11-19,3931,24625850,1,26,2026-03
이어지는 땅,2024-01-10,3928,32183700,2,14,2024-03
수성못,2018-04-19,3820,28449900,1,1,2025-02
"럭키, 아파트",2024-10-30,3811,35579050,1,1,2025-06
더스트맨,2021-04-07,3810,25951280,1,1,2024-11
신세계로부터,2023-12-20,3784,32057739,1,1,2024-02
마이 제너레이션,2004-12-03,3754,22616500,1,2,2024-02
은하수,2024-04-10,3738,35733600,1,3,2024-08
주희에게,2026-04-15,3725,33617900,1,1,2026-07
비상계엄,2025-12-03,3721,37979200,5,12,2026-01
프리 철수 리,2023-10-18,3675,32899000,1,2,2024-08
낮에는 덥고 밤에는 춥고,2022-10-27,3669,29166995,1,1,2026-01
생명의 은인,2025-11-05,3661,33255800,1,20,2026-02
아워 미드나잇,2021-11-11,3661,27562470,1,1,2026-07
"열여덟, 어른이 되는 나이",2023-01-25,3656,33748297,1,1,2024-11
은빛살구,2025-01-15,3619,29469100,1,1,2025-10
다른 것으로 알려질 뿐이지,2025-08-27,3487,34865550,3,20,2025-10
장인과 사위,2024-02-15,3467,29741660,1,2,2025-12
왕십리 김종분,2021-11-11,3457,28596600,1,21,2026-06
이태원,2019-12-05,3455,27829260,1,1,2024-11
양양,2025-10-22,3451,31605260,1,5,2026-02
말이야 바른 말이지,2023-05-17,3444,28173082,1,1,2024-08
흐르다,2023-03-29,3435,27721597,1,1,2024-03
그녀의 연기,,3435,12872775,30,192,2026-02
정돌이,2025-02-12,3391,30039900,1,1,2025-07
풍기,2024-08-28,3386,26157755,1,22,2025-11
자유 결혼,1958-10-14,3367,7045000,1,4,2024-07
감독판 김일성의 아이들,2024-06-25,3361,27225117,1,1,2024-09
오발탄,1961-04-13,3347,7420000,1,2,2025-10
사랑의 고고학,2023-04-12,3321,29526958,1,1,2024-04
된장이,2025-07-02,3284,27111700,2,12,2025-08
엄마의 왕국,2024-07-24,3252,28687900,1,2,2024-09
우리는 매일매일,2021-06-30,3244,25205670,1,1,2024-11
촌색씨,,3194,6388000,1,6,2024-06
매트,2023-11-30,3175,37835156,1,1,2024-01
우리 둘 사이에,2025-07-30,3162,26501100,2,2,2025-11
암행어사 박문수,,3084,6654000,1,6,2026-04
두 사람,2025-02-12,3081,27672300,1,1,2026-02
5시부터 7시까지의 주희,2023-11-08,3053,25687547,1,1,2024-10
넌센스,2025-11-26,3046,28476850,1,2,2026-02
말아,2022-08-25,3026,25067900,1,1,2025-05
머슴바울,2022-11-24,3024,29279600,1,1,2025-10
소리없이 나빌레라,2026-06-24,3018,25056560,11,145,2026-07
숨,2025-03-12,2965,25208900,1,1,2025-06
한강에게,2019-04-04,2937,20348960,1,1,2024-11
"안녕, 미누",2020-05-27,2921,23450500,1,1,2026-02
내언니전지현과 나,2020-12-03,2874,24460300,1,1,2024-12
불청객,2010-09-30,2828,19990000,1,1,2024-02
돌들이 말할 때까지,2024-04-17,2818,25533199,2,4,2026-04
우묵배미의 사랑,1990-03-31,2787,10136650,1,1,2025-10
THE 자연인,2025-08-20,2786,23548800,2,7,2025-10
씨그널: 바다의 마지막 신호,2025-07-16,2754,25252360,1,1,2026-04
그대와 영원히,1958-01-15,2721,5772500,1,6,2025-06
페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,2025-05-09,2692,65965000,3,3,2025-06
임신한 나무와 도깨비,2022-01-27,2686,17402800,1,1,2024-06
까치발,2021-06-03,2672,20816000,1,1,2024-10
잔챙이,2025-06-18,2663,22695100,1,14,2025-08
송환,2004-03-19,2655,15864800,1,2,2024-06
나를 구하지 마세요,2020-09-10,2645,22776800,1,1,2025-09
