날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-13,3,토이 스토리 5,2026-06-17,"17,731","-80,931 (-82.0%)","2,598,048","184,909,200",16.1%,"-875,428,800 (-82.6%)","26,730,471,150",697,"2,082","270,838",6.6%,15.2%
2026-07-13,6,호프,2026-07-15,"4,365",-685 (-13.6%),"15,045","42,309,000",3.7%,"-33,441,000 (-44.1%)","202,485,000",17,17,,,
2026-07-14,4,군체,2026-05-21,"5,977",-129 (-2.1%),"5,926,402","61,387,200",5.7%,"-3,199,500 (-5.0%)","62,394,181,350",502,791,"92,507",6.5%,5.3%
2026-07-14,2,눈동자,2026-06-24,"22,901","-3,996 (-14.9%)","1,327,048","245,576,930",23.0%,"-42,227,840 (-14.7%)","13,642,737,230",890,"3,096","388,083",5.9%,22.3%
2026-07-14,5,다윗,2026-07-10,"5,797",483 (9.1%),"86,580","58,185,850",5.4%,"2,439,500 (4.4%)","854,537,430",483,900,,,
2026-07-14,6,마티 슈프림,2026-07-01,"3,118",157 (5.3%),"108,169","34,668,400",3.2%,"1,247,450 (3.7%)","1,154,391,410",195,227,,,
2026-07-14,1,모아나,2026-07-08,"25,967","-3,117 (-10.7%)","566,520","282,497,450",26.4%,"-40,347,800 (-12.5%)","6,244,755,480","1,155","3,922","620,407",4.2%,35.7%
2026-07-14,9,백룸,2026-05-27,"1,158",-167 (-12.6%),"1,211,552","13,637,750",1.3%,"-1,896,300 (-12.2%)","12,941,031,910",101,129,,,
2026-07-14,7,와일드 씽,2026-06-03,"2,427",480 (24.7%),"1,337,607","22,360,800",2.1%,"5,626,500 (33.6%)","12,913,307,390",288,369,"42,541",5.7%,2.4%
2026-07-14,3,토이 스토리 5,2026-06-17,"17,149",-582 (-3.3%),"2,615,194","175,798,050",16.5%,"-9,111,150 (-4.9%)","26,906,247,500",700,"2,072","269,554",6.4%,15.5%
2026-07-14,10,하나 코리아,2026-07-08,993,263 (36.0%),"12,896","9,248,250",0.9%,"2,576,200 (38.6%)","119,943,450",131,167,,,
2026-07-14,8,호프,2026-07-15,"2,313","-2,052 (-47.0%)","17,358","33,223,000",3.1%,"-9,086,000 (-21.5%)","235,708,000",7,7,,,
