영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1급기밀,2018-01-24,한국,한국,"(주)미인픽쳐스,(주)미디어모굴",(주)리틀빅픽쳐스,12세이상관람가,드라마,홍기선,"김상경,김옥빈,최무성,최귀화,김병철,최고,이지원,서현우,이상철,이승훈,이윤혁,신윤정,김태민,유영호,최보연,김민정,김성진,김우진,김민기,권태원,김성민"
킬,2024-08-28,인도,인도,,주식회사 올랄라스토리,청소년관람불가,"액션,범죄",니킬 나게시 바트,"락샤,라가브 주얄,타냐 마닉탈라"
담요를 입은 사람,,한국,한국,,(주)시네마달,12세이상관람가,다큐멘터리,박정미,박정미
모든 가족은 퀴어하다,,한국,한국,,,12세이상관람가,"다큐멘터리,가족",이강희,이강희
힘을 낼 시간,2024-12-18,한국,한국,"국가인권위원회,비포위다이",(주)엣나인필름,12세이상관람가,드라마,남궁선,"최성은,현우석,하서윤,강채윤,홍상표"
지구 최후의 여자,2026-07-15,한국,한국,,주식회사 필름초이스,15세이상관람가,"드라마,코미디","염문경,이종민","염문경,이종민"
아이슬란드가 멈추던 날,,아이슬란드,"아이슬란드,미국",,,,다큐멘터리,,
"안녕, 할부지",2024-09-04,한국,한국,(주)에이컴즈,(주)바른손이앤에이,전체관람가,"다큐멘터리,애니메이션","심형준,토마스 고","푸바오,아이바오,러바오,루이바오,후이바오,강철원,송영관,오승희,이세현"
"[SIWFF] 지금 여기, 한국영화 단편선 2",,한국,한국,,,,드라마,,
CISFF2024 : 개막작,,한국,한국,,,,기타,,
역마차,,미국,미국,,,,서부극(웨스턴),존 포드,"존 웨인,클레어 트레버,앤디 데빈,존 캐러딘"
"[SIWFF] 아나 행성 아키비스트 + 마리아 슈나이더, 1983, 샹탈 아커만",,기타,기타,,,,"다큐멘터리,기타",,
[SIWFF] 퀴어 레인보우 단편선,,기타,기타,,,,"드라마,다큐멘터리",,
큐레이팅 메이 : 극장 점거,,한국,한국,,,,기타,,
레스비아,,그리스,그리스,,,,다큐멘터리,,
CISFF2024 : Made In CISFF,,한국,한국,,,,기타,,
CISFF2024 : 경쟁섹션2,,한국,한국,,,,기타,,
CISFF2024 : 경쟁섹션3,,한국,한국,,,,기타,,
CISFF2024 : 네트워크시네마 X 시스프파운데이션,,한국,한국,,,,기타,,
[SIWFF] 아시아단편 단편선 4,,기타,기타,,,,"드라마,다큐멘터리,애니메이션",,
[SIWFF] 아시아단편 단편선 1,,기타,기타,,,,드라마,,
제비,,미국,미국,,,,공연,,
나의 이름은 마리아,2025-11-26,프랑스,프랑스,,찬란,15세이상관람가,드라마,제시카 팔뤼,"아나마리아 바르톨로메이,맷 딜런"
니얼굴,2022-06-23,한국,한국,두물머리픽쳐스,(주)영화사 진진,전체관람가,다큐멘터리,서동일,"장차현실,정은혜"
비바 바르다!,,프랑스,프랑스,,,,다큐멘터리,,
러브 데스 도그 + 목소리들,,한국,한국,,,,다큐멘터리,,
레아들,,아르헨티나,"아르헨티나,독일,스위스",,,,다큐멘터리,,
혼도,,미국,미국,워너 브러더스 픽쳐스,,,서부극(웨스턴),존 페로우,"존 웨인,제랄딘 페이지"
[SIWFF] 새로운 물결 단편선 1,,기타,기타,,,,드라마,,
루키,,필리핀,필리핀,,,,드라마,,
[SIWFF] 여성감독네트워크 Pick: WDN 단편선,,한국,한국,,,,"드라마,다큐멘터리",,
존 웨인의 진주만,,미국,미국,,,,"전쟁,드라마",조지 와그너,"존 웨인,패트리샤 닐"
오키나와에 사랑을 담아,,일본,일본,,,,다큐멘터리,,
베르메르에 가까이,,네덜란드,네덜란드,,,,다큐멘터리,,
아시안 고스트 스토리 + 고향의 풍경,,기타,기타,,,,다큐멘터리,,
스모킹 타이거스,,미국,미국,,,,드라마,셸리 요,정준호
리틀 걸 블루,,프랑스,프랑스,,,,다큐멘터리,,
언제나 그 자리에 + 완벽한 하루,,기타,기타,,,,다큐멘터리,,
좋은 사람,,미국,미국,,,,드라마,,
나쁜 날씨가 좋아서,,불가리아,불가리아,,,,드라마,,
어떤 프랑스 청년,,캐나다,"캐나다,프랑스",,,,다큐멘터리,,
어둠이 끝날 무렵,,중국,"중국,미국",,,,다큐멘터리,,
"[SIWFF] 애니메이티드, 몸-세계-존재 단편선 1",,한국,한국,,,,애니메이션,,
신입사원: 더 무비,2023-08-03,한국,한국,청년필름(주),(주)나인플래너스,15세이상관람가,멜로/로맨스,김조광수,"권혁,문지용,김태영,남규희,백지혜"
"[SIWFF] 지금 여기, 한국영화 단편선 3",,한국,한국,,,,"드라마,다큐멘터리",,
열 개의 우물,2024-10-30,한국,한국,감 픽쳐스,감 픽쳐스,12세이상관람가,다큐멘터리,김미례,
파워 앨리,,브라질,"브라질,프랑스,우루과이",,,,드라마,,
"[SIWFF] 애니메이티드, 몸-세계-존재 단편선 2",,한국,한국,,,,애니메이션,,
바리데기,2024-09-04,한국,한국,주식회사 제이호컴퍼니,시네마 뉴원,청소년관람불가,"공포(호러),미스터리",이세원,"공정환,황설아,지대한,황바울,전지학,손은호,최현석,박태진,김재호,김주경,성빈우,김혜연,김서윤,김은설,박시아,이관학"
"[SIWFF] 경계에서, 끈질기게 단편선",,한국,한국,,,,다큐멘터리,,
양양,2025-10-22,한국,한국,영화사 금요일,(주)영화사 진진,12세이상관람가,다큐멘터리,양주연,"양주연,양철원"
제25회 대구단편영화제 경쟁10,,한국,한국,,,,"드라마,코미디,SF",,
제25회 대구단편영화제 경쟁8,,한국,한국,,,,드라마,,
파보리텐,,오스트리아,오스트리아,,,,다큐멘터리,,
영혼의 눈동자,,스페인,스페인,,,,다큐멘터리,,
제25회 대구단편영화제 경쟁5,,한국,한국,,,,"드라마,코미디,다큐멘터리",,
[SIWFF] 아시아단편 단편선 2,,기타,기타,,,,"드라마,애니메이션",,
대장 부리바,1973-06-29,미국,미국,,,12세이상관람가,"전쟁,액션,어드벤처,드라마,멜로/로맨스",J. 리 톰슨,"토니 커티스,율 브린너"
제25회 대구단편영화제 경쟁11,,한국,한국,,,,"드라마,스릴러",,
제25회 대구단편영화제 경쟁9,,한국,한국,,,,"드라마,애니메이션",,
제25회 대구단편영화제 미드나잇 시네마 (호러&스릴러),,한국,한국,,,,"공포(호러),스릴러",,
제25회 대구단편영화제 경쟁3,,한국,한국,,,,"드라마,코미디,애니메이션",,
프리 철수 리,2023-10-18,한국,한국,,커넥트픽쳐스(주),12세이상관람가,"다큐멘터리,범죄","하줄리,이성민",
멕시코에서 버스 타기,,멕시코,멕시코,,,,드라마,루이스 브뉘엘,
제25회 대구단편영화제 경쟁4,,한국,한국,,,,"코미디,드라마",,
78일,,세르비아,"세르비아,보스니아,기타",,,,드라마,,
"[SIWFF] 애니메이티드, 몸-세계-존재 단편선 3",,한국,한국,,,,애니메이션,,
더 바이올린 메이커,,한국,한국,,,,다큐멘터리,,
[SIWFF] 아시아단편 단편선 3,,기타,기타,,,,"다큐멘터리,애니메이션",,
[SIWFF] 아이틴즈 단편선,,한국,한국,,,,"드라마,애니메이션,다큐멘터리",,
실리카겔: 전에 없던 사운드의 탄생,,한국,한국,,,,다큐멘터리,,
아리랑 랩소디,,일본,일본,,,,다큐멘터리,김성웅,
귀 기울여 들으면,,중국,중국,,,,드라마,,
아일랜드 인 비트윈 + 석양의 빛: 디아스포라 이야기,,기타,기타,,,,다큐멘터리,,
퀸의 뜨개질 + 어둠이 끝날 무렵,,기타,기타,,,,다큐멘터리,,
없는 산 + 오키나와에 사랑을 담아,,기타,기타,,,,다큐멘터리,,
제25회 대구단편영화제 경쟁7,,한국,한국,,,,"스릴러,멜로/로맨스,드라마",,
군다,2022-07-14,미국,미국,,(주)영화사 진진,전체관람가,다큐멘터리,빅토르 코사코프스키,
집을 잃은 소녀 + 인생은 아름답다,,기타,기타,,,,다큐멘터리,,
봄의 피부,,칠레,"칠레,콜롬비아",,,,드라마,,
원 퍼센터,2024-08-23,일본,일본,,(주)빅웨이브시네마,15세이상관람가,액션,야마구치 유다이,
키스 미 데들리,,미국,미국,,,,"스릴러,범죄",로버트 알드리치,"랄프 미커,알버트 데커,폴 스튜어트"
엄마에게 보내는 편지 + 양양,,기타,기타,,,,다큐멘터리,,
제25회 대구단편영화제 경쟁2,,한국,한국,,,,"드라마,멜로/로맨스",,
선생,,한국,한국,,,,다큐멘터리,,
싱크로나이즈,,칠레,칠레,,,,다큐멘터리,,
증발된 사람들,,독일,독일,,,,다큐멘터리,,
눈 먼 짐승,,일본,일본,,,,"공포(호러),드라마",마스무라 야스조,
늑대와 함께,,프랑스,"프랑스,벨기에",,,,다큐멘터리,,
포유동물,,스페인,스페인,,,,드라마,,
"우리의 땅, 우리의 자유",,케냐,"케냐,미국,포르투갈,독일",,,,다큐멘터리,,
"[SIWFF] 애니메이티드, 몸-세계-존재 단편선 4",,한국,한국,,,,애니메이션,,
"[SIWFF] 지금 여기, 한국영화 단편선 1",,한국,한국,,,,드라마,,
조지아의 미소,,기타,"기타,독일",,,,다큐멘터리,,
구름이하는말,2025-11-05,한국,한국,칸따삐아필름,영화배급협동조합 씨네소파,15세이상관람가,드라마,장태구,이지봄
도무스 데 야나스,,벨기에,"벨기에,이탈리아",,,,다큐멘터리,,
윌로씨의 휴가,,프랑스,프랑스,,,,코미디,자크 타티,"자크 타티,나탈리 파스쿠드"
축구 소녀 모나,,독일,독일,,,,드라마,,
플레이타임,,프랑스,"프랑스,이탈리아",,,,코미디,자크 타티,리타 메이든
르코르뷔지에가 꿈꾼 유토피아,,스위스,스위스,,,,다큐멘터리,,
단편화첩×한국영화,,한국,한국,,,,다큐멘터리,,
지구의 노래: 피오르의 속삭임,,노르웨이,노르웨이,,,,다큐멘터리,,
클라이밍,2021-06-16,한국,한국,한국영화아카데미,(주)트리플픽쳐스,15세이상관람가,애니메이션,김혜미,"김민지,박송이,박송이,구지원,박주광,김민지"
"청산, 유수",,한국,한국,비아신 픽처스,비아신 픽처스,12세이상관람가,"멜로/로맨스,드라마",신동일,이설
꿈의 나라,,인도,인도,,,,다큐멘터리,,
엘레지,,홍콩,홍콩,,,,다큐멘터리,,
제25회 대구단편영화제 경쟁6,,한국,한국,,,,"드라마,스릴러",,
그 모든 거짓말의 어머니,,모로코,"모로코,이집트,카타르",,,,다큐멘터리,,
트래픽,,이탈리아,"이탈리아,프랑스",,,,드라마,자크 타티,자크 타티
폴 포트 댄싱,,독일,"독일,노르웨이",,,,다큐멘터리,,
[SIWFF] 새로운 물결 단편선 2,,기타,기타,,,,다큐멘터리,,
투 디 엔드,,미국,미국,,,,다큐멘터리,,
산불 전망대 위에서,,캐나다,캐나다,,,,다큐멘터리,,
"이구알라다, 쟁취하는 자",,콜롬비아,콜롬비아,,,,다큐멘터리,,
"잘 가, 다신 만나지 말자",,한국,한국,,,,다큐멘터리,,
제25회 대구단편영화제 경쟁1,,한국,한국,,,,"드라마,스릴러",,
"그날까지 + 넷, 다섯, 여섯: 북한 여자 축구의 전설들",,기타,기타,,,,다큐멘터리,,
땅 아래 사람들,,슬로바키아,"슬로바키아,체코,우크라이나",,,,다큐멘터리,,
북경의 별,,중국,중국,,,,다큐멘터리,,
야생에서,,노르웨이,노르웨이,,,,다큐멘터리,,
축제일,,프랑스,프랑스,,,,코미디,자크 타티,"자크 타티,기 데콩블"
"아메리칸 캣츠: 좋은 놈, 나쁜 놈, 귀여운 놈",,미국,미국,,,,다큐멘터리,,
영사실의 불빛,,프랑스,프랑스,,,,다큐멘터리,,
탐욕의 식민 전쟁,,네덜란드,네덜란드,,,,다큐멘터리,,
집으로 가는 기차,,캐나다,"캐나다,중국,영국",,,,다큐멘터리,범립흔,
슬기로운 초등생활,,일본,"일본,미국,핀란드,프랑스",,,,다큐멘터리,,
이란 부인의 이런 남편 + 칭기즈칸의 후예,,기타,기타,,,,다큐멘터리,,
퍼레이드,,프랑스,"프랑스,스웨덴",,,,다큐멘터리,자크 타티,자크 타티
나의 아저씨,,프랑스,"프랑스,이탈리아",,,,코미디,자크 타티,"장 피에르 조라,자크 타티"
미드나잇 카우보이의 전설,,미국,미국,,,,다큐멘터리,,
가랑이 채운 밤,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,
남편의 직장 상사에게 빠진 유부녀,2024-08-23,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
내 입에 맞는 새엄마 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,오츠키 히비키
너무 하고 싶어 찾은 그녀 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,혼다 히토미
넣어준 가정교사,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,사루,미즈사와 마키
녹아내리는 며느리 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,
돌아갈 수 없는 그녀 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,잠파,
란제리와 팬티스타킹의 마유코짱,2024-08-19,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
몇 번을 채워도 모자란 깊은구멍,2024-08-19,한국,한국,(주)파랑새미디어,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이타치,
몸으로 갚는 아내,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,,
몸으로 때운 교육,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,,야나기다 야요이
발정난 이모의 젖은 속옷,2024-08-23,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
밤에 가는 새엄마 침실 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,
삽입은 안 하신다면서요!!,2024-08-22,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
새엄마 저랑해요,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,
성욕 폭발 아마추어 음란 모임,2024-08-23,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
싫다며 넣는 유부녀 무삭제판,2024-08-23,일본,일본,,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,오오사키히로하루,
여관직원 미키의 몸으로 하는 영업,2024-08-23,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
