영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
파리의 사생활,2026-07-15,영국,영국,,(주)티캐스트,15세이상관람가,드라마,레베카 즐로토브스키,"조디 포스터,비르지니 에피라,마티유 아말릭,다니엘 오떼유"
사운드 오브 폴링,2025-12-17,독일,독일,,"(주)스튜디오디에이치엘,(주)플레이그램",15세이상관람가,드라마,마샤 실린스키,
SIFF2025-어느 뻣뻣한 하루+리틀아멜리,,기타,기타,,,,"애니메이션,드라마",,
내일의 민재,,한국,한국,(주)지이프로덕션,,,드라마,박용재,"이레,금해나,노재원,김세원"
날개는 베개 밑에 숨겨두었어,,한국,한국,,,,"드라마,다큐멘터리",,
고갈 감독판,,한국,한국,,,,드라마,김곡,
충충충,2026-06-17,한국,한국,한국예술종합학교,(주)엣나인필름,15세이상관람가,범죄,한창록,"주민형,백지혜,정수현,신준항,양승욱,강지원,오지훈,김연교,황정인,김정훈,신문성"
내부자들: 디 오리지널,2015-12-31,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성,박성근,이문석,이동진"
SIFF2025-페스티벌초이스 단편3,,한국,한국,,,,"드라마,애니메이션",,
"파리, 밤의 여행자들",2025-12-17,프랑스,프랑스,,"(주)영화사 진진,(주)하이스트레인저",15세이상관람가,드라마,미카엘 허스,"샤를로뜨 갱스부르,키토 라용 리슈테르,노에이 아비타,메간 노섬"
SIFF2025-단편경쟁1,,한국,한국,,,,"드라마,다큐멘터리,애니메이션",,
SIFF2025-페스티벌초이스 단편2,,한국,한국,,,,드라마,,
오늘의 카레,,한국,한국,,,,드라마,조미혜,신기성
SIFF2025-단편경쟁7,,한국,한국,,,,"드라마,애니메이션",,
누룩,2026-04-15,한국,한국,(주)1031스튜디오,(주)로드쇼플러스,15세이상관람가,"가족,미스터리,드라마",장동윤,"김승윤,송지혁,박명훈,이형주,박지연,황재열,김대한,이범규,조현우,서벽준"
SIFF2025-단편경쟁6,,한국,한국,,,,"드라마,애니메이션",,
SIFF2025-페스티벌초이스 단편4,,한국,한국,,,,"드라마,애니메이션,다큐멘터리",,
드림스,2026-03-18,미국,미국,,(주)디스테이션,청소년관람불가,"드라마,멜로/로맨스",미셸 프랑코,"제시카 차스테인,루퍼트 프렌드,마샬 벨"
루오무의 황혼,,중국,중국,,,,드라마,,
"인터섹션 에코즈- 신체, 섹슈얼리티, 이미지",,스페인,스페인,,,,기타,,
SIFF2025-단편경쟁8,,한국,한국,,,,드라마,,
아르코,2026-03-11,프랑스,프랑스,,판씨네마(주),전체관람가,애니메이션,우고 비엔베누,"나탈리 포트만,마크 러팔로,윌 페렐,앤디 샘버그,아메리카 페레라"
지느러미,2026-07-22,한국,한국,시소픽쳐스,(주)에무필름즈,15세이상관람가,"SF,스릴러",박세영,"연예지,김푸름,고우,장요훈,맹주원,권세윤,유이든,홍승기,김오키,한태희,송세진,강준,김현아,이주미,우서연,이가희,박보은,조경현,박선애"
SIFF2025-페스티벌초이스 단편8,,한국,한국,,,,"드라마,애니메이션",,
"스탠바이, 액션!",,한국,한국,다큐인,미디어나무(주),12세이상관람가,다큐멘터리,,
배드 럭 뱅잉,2022-07-28,루마니아,"루마니아,체코,룩셈부르크",,알토미디어(주),청소년관람불가,"드라마,코미디",라두 주데,"카티아 파스칼리우,클라우디아 이레미아,올림피아 말라이,니코딤 웅그레아누"
